Symbol,Sector,Name,Position,Company,University,Age,Compensation,Tenure_To,Tenure_From,Work Loction,Affiliation,Gender,DOB,POB,Nationality,Bachelors_University,Bachelors Specialization,Masters_University,Masters Specialization,Performance,Parents,Father Occupation,Mother Occupation, Starting_Age,Employment History
CLX,Consumer Staples,Donald R. Knauss,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",The Clorox Company,"Indiana University, Bloomington",62,10721064,2014,2006,"1221 BroadwayOakland, California 94612United States","The Coca-Cola Company|The Minute Maid Company|URS Corporation|Kellogg Company|Indiana University, Bloomington|Federal Reserve Bank of San Francisco",Male,1952,,,Indiana University,BA,NA,NA,-0.036988146,,,,54,Executive Vice President of Coca-Cola | President & COO for Coca-Cola | Marketing & Sales Positions with PepsiCo. & Procter & Gamble
CME,Financials,Phupinder S. Gill,"Chief Executive Officer, Director, Member of Executive Committee and Member of Strategic Steering Committee,",CME Group Inc.,Washington State University-Pullman,52,4149354,2014,2012,"20 South Wacker DriveChicago, Illinois 60606United States","First Midwest Bancorp Inc.|Washington State University-Pullman|First Midwest Bank|Bursa Malaysia Derivatives Bhd|Bolsa Mexicana de Valores SAB de CV|Board of Trade of the City of Chicago, Inc.",Male,1962,,,NA,BS,Washington State University,MBA,0.081481481,,,,50,CEO of CME Group Inc. | President (2007-2012) | President & COO of CME Holdings | President of GFX Corp.(1998-2012) | Managing Director and president of CME Clearing
CMS,Utilities,John G. Russell,"Chief Executive Officer, President, Director, Chairman of CMS Enterprises, Chief Executive Officer of Consumers Energy Company, Chief Executive Officer of CMS Enterprises, President of Consumers Energy Company, President of CMS Enterprises and Director of Consumers Energy Company,",CMS Energy Corp.,Michigan State University,55,6817007,2014,2010,"One Energy PlazaJackson, Michigan 49201United States",Hubbell Inc.|Consumers Gas Group|Harvard University|Consumers Energy Company|Michigan State University|American Gas Association,Male,1959,,,Michigan University,BBA,NA,NA,0.080988088,,,,51,President of CMS Energy Corp | CEO and president of Consumers Energy | President of Electric & Gas 
COH,Consumer Discretionary,Victor   Luis,"Chief Executive Officer and Director,","Coach, Inc.",NA,47,17851776,2014,2014,"516 West 34th StreetNew York, New York 10001United States",Coach Japan LLC,Male,1967,,,College of Holy Cross,BA,"Durham University,UK",MA,0,,,,47,CEO of Coach since 2014 | President & Chief Commercial Oficer from 2013-2014
KO,Consumer Staples,Muhtar   Kent,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",The Coca-Cola Company,"City University, London",60,20380660,2014,2009,"One Coca-Cola PlazaAtlanta, Georgia 30313United States","3M Company|Emory University|Special Olympics, Inc.|Council on Foreign Relations, Inc.|Center for Strategic and International Studies, Inc.|Ronald McDonald House Charities, Inc.|City University, London|The University of Hull|US-China Business Council, Inc.|Coca-Cola India Private Limited|Catalyst Inc.|The Business Advisory Council for Southeastern Europe and Eurasia",Male,1954,United States of America,United States of America | Turkey,Tarsus American College ,BS,"Cass Business Scholl of City, London",NA,0.121879906,Necdet Kent | ,,,55,"Coca-Cola marketing, logistics, marketing (1978-85) | General Manager Cocal-Cola Turkey and Central Asia (1985-1988) | President of Coca-Cola(1988-1995) | Managin director (1995-1997)"
CCE,Consumer Staples,John Franklin Brock III,"Chairman, Chief Executive Officer, Member of Executive Committee and Member of Corporate Responsibility and Sustainability Committee,",Coca-Cola Enterprises Inc.,Georgia Institute of Technology,64,17021019,2014,2010,"2500 Windy Ridge ParkwayAtlanta, Georgia 30339United States","The Coca-Cola Company|Dr Pepper/Seven Up, Inc.|Cadbury Limited|Campbell Soup Company|Coca-Cola Refreshments USA, Inc.|Dow Jones & Company, Inc.|Royal Caribbean Cruises Ltd.|Reed Elsevier plc|Companhia de Bebidas das Am??ricas - Ambev|Reed Elsevier NV|Reed Elsevier Group Plc|Anheuser-Busch InBev SA/NV|Georgia Institute of Technology|The American Beverage Association|Coca-Cola Enterprises (Canada) Bottling Finance Company",Male,1950,,,NA,NA,Georgia Institue of Technology,MS,0.106114438,,,,60,Director of Dow Jones & Company Inc.(April 2007-December 2007) | Director of Campbell Soup Company (2004-2006) | Director of Interbrew/Inbrew (2005-2006) | Director of Elsevier (1999-2005)
CTSH,Information Technology,Francisco   D'Souza,"Chief Executive Officer and Director,",Cognizant Technology Solutions Corporation,University of Macau,45,10612419,2014,2007,"Glenpointe Centre WestTeaneck, New Jersey 07666United States","Active Decisions, Inc.|General Electric Company|Carnegie Mellon University|University of Macau|Pepperweed Advisors, LLC",Male,1969,Kenya,Kenya,"University of East Asia,Macau",BBA,Carnegie Mellon University,MBA,0.233467753,Placido D'Souza | Sushila,,,38,Information Technology Indsutry Operational And Advisory Roles(20 years)  | North American Operations and Business Development as VP | COO in Cognizant(2003)
CL,Consumer Staples,Ian M. Cook,"Chairman, Chief Executive Officer and President,",Colgate-Palmolive Co.,University Of London,60,15991351,2014,2007,"300 Park AvenueNew York, New York 10022United States","Pepsico, Inc.|University Of London|Catalyst Inc.",Male,1954,,United Kingdom,NA,NA,London Guildhall University,MS,0.072789443,,,,53,"Colgate-Palmolive - 2007-07-01 - Chief Executive Officer - alden - Employment tenure | Colgate-Palmolive - 2005-09-30 - President - ts_bot - Employment tenure | Colgate-Palmolive - 2004-07-09 - Chief Operating Officer - 2007 - ts_bot - Employment tenure | Colgate-Palmolive - 2002 - EVP, Colgate-North America and Europe - 2004 - alden - Employment tenure | Colgate-Palmolive - 1976 - alden - Employment tenure | "
CMCSA,Consumer Discretionary,Brian L. Roberts,"Chairman, Chief Executive Officer, President and Director of Comcast Holdings Corporation,",Comcast Corporation,University of Pennsylvania - The Wharton School,53,29124014,2014,1990,"One Comcast CenterPhiladelphia, Pennsylvania 19103United States","NTL (Triangle) LLC|The Bank of New York Mellon Corporation|Jones Intercable, Inc.|QVC, Inc.|NBCUniversal Media, LLC|Comcast Cellular Corporation|Comcast Cable Communications, LLC|Innovation Philadelphia Inc.|Cable TV Fund 12-B Ltd|Cable TV Fund 12-C Ltd|Cable TV Fund 12-D Ltd|Cable TV Fund 14-A Ltd|Cable TV Fund 14-B Ltd|American Cable TV Investors 5 Ltd.|Cable Television Laboratories, Inc.|National Cable & Telecommunications Association|University of Pennsylvania - The Wharton School|Comcast Holdings Corp.|Quadrangle Capital Partners",Male,1961,United States of America,United States of America,Wharton University,BS,NA,NA,-0.799687915,Ralph J. Roberts | Suzanne Fleisher,,,29,Comcast - President - ts_bot - Employment tenure | Comcast - Chief Executive Officer - ts_bot - Employment tenure | 
CMA,Financials,Ralph W. Babb Jr.,"Chairman, Chief Executive Officer, President, Chairman of Capital Committee, Chairman of Special Preferred Stock Committee, Member of Management Policy Committee, Chairman of Comerica Bank, Chief Executive Officer of Comerica Bank and President of Comerica Bank,",Comerica Incorporated,University of Missouri-Columbia,64,6463206,2014,2002,"Comerica Bank TowerDallas, Texas 75201United States",Texas Instruments Inc.|Tecumseh Products Company|Comerica Bank|Business Leaders for Michigan|University of Missouri-Columbia|BITS Financial Services Roundtable,Male,1950,,,University of Missouri,BS,NA,NA,-0.217844656,,,,52,Comerica - Chairman - ts_bot - Employment tenure | Comerica - Chief Executive Officer - ts_bot - Employment tenure | Comerica - President - ts_bot - Employment tenure | 
CSC,Information Technology,John Michael Lawrie,"Chief Executive Officer, President, Director and Chairman of Executive Committee,",Computer Sciences Corporation,Ohio University,59,21288188,2014,2012,"3170 Fairview Park DriveFalls Church, Virginia 22042United States","Juniper Networks, Inc.|Symbol Technologies, Inc.|Siebel Systems Inc.|International Business Machines Corporation|Good Technology, Inc.|ValueAct Capital, LLC|Misys Limited|Drexel University|Ohio University|Allscripts Healthcare Solutions, Inc.|SSA Global Technologies, Inc.",Male,1955,,,Ohio University,BS,Drexel University,MBA,-0.464401294,,,,57,"Executive Chairman by Allscripts-Misys Healthcare Solutions | CEO of Misys Hospital Systems | CEO & Executive Director of Misys Plc, General Partner by ValueAct Capital Management LLC, CEO by Siebel Systems Inc. | Executive Chairman by Allscripts Healthcare Solutions Inc. | Senior Vice President by International Business Machines Corp | Trustee by Ohio University"
CAG,Consumer Staples,Gary M. Rodkin,"Chief Executive Officer, President, Executive Director and Member of Executive Committee,","ConAgra Foods, Inc.",Harvard University,61,10711785,2014,2005,"One ConAgra DriveOmaha, Nebraska 68102United States","Pepsico, Inc.|Avon Products Inc.|Tropicana Products, Inc.|Harvard University|United Industries Corporation|Rutgers, The State University of New Jersey|Father Flanagan's Boys' Home|Grocery Manufacturers Association",Male,1953,,,Rutgers University,BS,Harvard University,MBA,0.118784669,,,,52,CEO of PepsiCo(1995-2005) | Vice President of General Mills
COP,Energy,Ryan M. Lance,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",ConocoPhillips,Montana Tech Of The University Of Montana,51,23437415,2014,2012,"600 North Dairy AshfordHouston, Texas 77079United States",Montana Tech Of The University Of Montana|ConocoPhillips (U.K.) Limited,Male,1963,,,Montana Tech of University,BS,NA,NA,0.098214286,,,,49,"President, Exploration and Production - nanette - Employment tenure | 2007-02 - Senior Vice President, Technology - nanette - Employment tenure | 2006-04 - Senior Vice President, Technology and Major Projects - nanette - Employment tenure | 2005-06 - President, Strategy, Integration and Specialty Businesses - nanette - Employment tenure | 2003 - President, Asia Pacific, Exploration and Production - nanette - Employment tenure | 2002 - Vice President, Lower 48 - nanette - Employment tenure | Phillips Petroleum Company - 2001 - General Manager, Lower 48 and Canada - nanette - Employment tenure | ARCO - 1998 - Vice President, Western North Slope - nanette - Employment tenure | ARCO - 1996 - Planning Manager, Vastar Resources - 1998 - nanette - Employment tenure | ARCO - 1994 - Exploration Engineering Manager - nanette - Employment tenure | "
CNX,Energy,J. Brett Harvey,"Chairman and Chief Executive Officer,",CONSOL Energy Inc.,The University of Utah,62,15170492,2014,1998,"CNX CenterCanonsburg, Pennsylvania 15317United States",Barrick Gold Corporation|Allegheny Technologies Inc.|Consolidation Coal Company|University of Pittsburgh|The University of Utah|CONSOL Gas Company|CNX Gas Corporation,Male,1952,,,University of Utah,BSME,NA,NA,-2.038133269,,,,46,Convex Computer - President - ts_bot - Employment tenure | Convex Computer - Chief Executive Officer - ts_bot - Employment tenure | 
ED,Utilities,John   McAvoy,"Chief Executive Officer, President and Director,","Consolidated Edison, Inc.",New York University,52,2927672,2014,2013,"4 Irving PlaceNew York, New York 10003United States","Orange and Rockland Utilities, Inc.|New York University|Manhattan College|Consolidated Edison Co. of New York Inc.",Male,1962,,,Michigan University,BS,New York University,MBA,0,,,,51,"President & CEO, Consolidated Edison | President & CEO , Orange & Rockland Utilities | Senior Vice President - Central Operations | Vice President - System & Transmission Operations"
STZ,Consumer Staples,Robert S. Sands II,"Chief Executive Officer, President and Director,",Constellation Brands Inc.,Skidmore College,54,8014309,2014,2007,"Building 100Victor, New York 14564United States",The Federal Reserve Bank of New York|Skidmore College|Pace Law School|Accolade Wines Limited|Constellation Beers Ltd.,Male,1960,,,Skidmore College,BS,Pace University,JD,1.11366525,,,,47,CEO of constellation brands(for 2 years)
GLW,Industrials,Wendell P. Weeks,"Executive Chairman, Chief Executive Officer, President and Chairman of Executive Committee,",Corning Inc.,Harvard University,53,11213863,2014,2005,"One Riverfront PlazaCorning, New York 14831United States","Dow Corning Corporation|Merck & Co. Inc.|Corning Cable Systems LLC|Harvard University|Lehigh University|Corning Precision Materials Korea Co., Ltd,|Corning Optical Fiber Gmbh & Co. Kg",Male,1961,,,Lehigh University,BA,Harvard University,MBA,0.432699883,,,,44,"Corning Inc. - 2005-04 - Chief Executive Officer - ts_bot - Employment tenure | Corning Inc. - 2002-04 - President and Chief Operating Officer - 2005-04 - ts_bot - Employment tenure | Corning Inc. - 2001 - President of Optical Communications - 2002-04 - azierath - Employment tenure | Corning Inc. - 1996 - Vice President and General Manager, Optical Fiber Division - 2001 - azierath - Employment tenure | Corning Inc. - 1993 - General Manager of External Development - 1996 - azierath - Employment tenure | Corning Inc. - 1983 - azierath - Employment tenure | "
COST,Consumer Staples,W. Craig Jelinek,"Chief Executive Officer, President and Director,",Costco Wholesale Corporation,NA,61,5385475,2014,2010,"999 Lake DriveIssaquah, Washington 98027United States",,Male,1953,,,NA,NA,NA,NA,0.166385409,,,,57,"Director , President of Company since 2012 | CEO since Jan 2012"
COV,Health Care,Jos?? E. Almeida,"Chairman, Chief Executive Officer and President,",Covidien plc,Instituto Mau?? de Tecnologia,51,11171496,2014,2011,"20 On HatchDublin, Co. Dublin 2Ireland","Greatbatch, Inc.|Tyco International Ltd.|State Street Corporation|TransMedics, Inc.|Instituto Mau?? de Tecnologia|Covidien International Finance S.A.",Male,1963,,,NA,NA,NA,NA,-0.419042202,,,,48,
CCI,Telecommunications Services,W. Benjamin Moreland,"Chief Executive Officer, President and Director,",Crown Castle International Corp.,The University of Texas System,49,7389109,2014,2008,"1220 Augusta DriveHouston, Texas 77057United States","The University of Texas System|Calpine Corp.|FiberTower Corporation|The University of Texas, Austin|University of Houston System|CC Holdings GS V LLC|Global Signal Acquisitions LLC",Male,1965,,,University Of Texas Austin,BBA,University of Houston ,MBA,0.107365695,,,,43,Crown Castle International Corp. - Executive Vice President - ts_bot - Employment tenure | Crown Castle International Corp. - Chief Financial Officer - ts_bot - Employment tenure | 
CSX,Industrials,Michael Jon Ward,"Chairman, Chief Executive Officer, President, Chairman of Executive Committee, Chief Executive Officer of CSX Transportation Inc and President of CSX Transportation Inc,",CSX Corp.,Harvard University,63,12444632,2014,2003,"500 Water StreetJacksonville, Florida 32202United States","Ashland Inc.|Harvard University|Dayton & Michigan Railroad Co.|Allegheny and Western Railway Company|CSX Transportation, Inc.|University of Maryland|City Year, Inc.",Male,1951,,,University Of Maryland,BBA,Harvard University,MBA,0.400462862,,,,52,
CMI,Industrials,N. Thomas Linebarger,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",Cummins Inc.,The Board of Trustees of The Leland Stanford Junior University,50,9393037,2014,2011,"500 Jackson StreetColumbus, Indiana 47201United States","The Board of Trustees of The Leland Stanford Junior University|Harley-Davidson, Inc.|Pactiv LLC|Claremont McKenna College|Cummins West, Inc.|Cummins Power Systems, LLC|Stanford Graduate School of Business|Indiana Economic Development Corp.|Cummins Power Generation Inc.|Energy Systems Network",Male,1964,,,Stanford University,BS,Stanford University,MBA,-0.089902595,,,,47,
CVS,Consumer Staples,Larry J. Merlo,"Chief Executive Officer, President, Director and Member of Executive Committee,",CVS Caremark Corporation,NA,57,31330162,2014,2011,"One CVS DriveWoonsocket, Rhode Island 02895United States","CVS Pharmacy, Inc.|National Association of Chain Drug Stores, Inc.",Male,1957,,,NA,NA,University of Pittsburgh,MS,0.206753936,,,,54,CVS Caremark - 2007-01-22 - Executive Vice President and President of CVS Pharmacy - ts_bot - Employment tenure | CVS Corporation - 1998-03 - Executive Vice President- Stores - 2007-01 - azierath - Employment tenure | CVS Corporation - 2000-04 - Executive Vice President- Stores - 2007-01 - azierath - Employment tenure | 
DHR,Industrials,H. Lawrence Culp Jr.,"Chief Executive Officer, President, Director, Member of Finance Committee and Member of Executive Committee,",Danaher Corp.,Harvard University,50,19705455,2014,2001,"2200 Pennsylvania Avenue NWWashington, District Of Columbia 20037United States","GlaxoSmithKline plc|Harvard University|Washington College|Danaher Motion, LLC",Male,1964,,United States of America,Washington University,BA,Harvard University,MBA,0.207706904,,,,37,Accenture | Danaher Corporation - President - ts_bot - Employment tenure | Danaher Corporation - Chief Executive Officer - ts_bot - Employment tenure | 
DRI,Consumer Discretionary,Clarence   Otis Jr.,"Executive Chairman, Chief Executive Officer and Chairman of Executive Committee,","Darden Restaurants, Inc.",Williams College,57,6350528,2014,2004,"1000 Darden Center DriveOrlando, Florida 32837United States","V.F. Corporation|The St. Paul Companies, Inc.|The Travelers Companies, Inc.|Verizon Communications Inc.|Williams College|GMRI, Inc.|Enterprise Florida, Inc.|Stanford Graduate School of Business|Stanford University Law school|Federal Reserve Bank of Atlanta|Red Lobster, Inc.",Male,1957,United States of America,United States of America,Williams College in Massachusetts,BS,Stanford University,Law,0.332611973,Clarence Otis | Calanthus Hall Otis,,,47,"Darden Restaurants - 2004 - Chief Executive Officer - ts_bot - Employment tenure | Darden Restaurants - 2002-12 - President, Smokey Bones Barbeque and Grill - 2004-11 - tina526 - Employment tenure | Darden Restaurants - 2002-03 - Executive Vice President - tina526 - Employment tenure | Darden Restaurants - 1999 - Chief Financial Officer - 2002 - tina526 - Employment tenure | Darden Restaurants - 1997 - Senior Vice President, Investor Relations - 1999 - tina526 - Employment tenure | Kidder, Peabody & Co. - tina526 - Employment tenure | JPMorgan Chase - tina526 - Employment tenure | Donovan, Leisure, Newton & Irvine - tina526 - Employment tenure | First Boston - 1987 - Vice President - tina526 - Employment tenure | "
DVA,Health Care,Kent J. Thiry,"Co-Chairman, Chief Executive Officer and Director,",DaVita HealthCare Partners Inc.,NA,57,26799121,2014,1999,"2000 16th StreetDenver, Colorado 80202United States","Oxford Health Plans, LLC|Renal Treatment Centers, Inc.|Vivra, Inc.|Varian Medical Systems, Inc.",Male,1957,,,Stanford University,BA,Harvard University,MBA,0.675234484,,,,42,DaVita - Chairman - ts_bot - Employment tenure | DaVita - Chief Executive Officer - ts_bot - Employment tenure | 
DE,Industrials,Samuel R. Allen,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",Deere & Company,Purdue University,60,19148372,2014,2009,"One John Deere PlaceMoline, Illinois 61265United States",Whirlpool Corp.|John Deere Capital Corp.|Purdue University,Male,1954,,,Purdue University,BA,NA,NA,0.494491978,,,,55,"Deere & Company - 2005-03 - President, Worldwide Construction & Forestry Division and Power Systems - azierath - Employment tenure | Deere & Company - 2003-11 - President, Global Financial Services and Power Systems - 2005-03 - azierath - Employment tenure | Deere & Company - 2003-01 - President, Global Financial Services - 2003-11 - azierath - Employment tenure | Deere & Company - 2001-08 - Senior Vice President, Global Human Resources, Industrial Relations and Corporate Communications - 2003-01 - azierath - Employment tenure | Deere & Company - 1999-08 - Vice President, Region I, Worldwide Agricultural Equipment Division - 2001-08 - azierath - Employment tenure | Deere & Company - Manager, Worldwide Engine Manufacturing Operations, Power Systems - azierath - Employment tenure | Deere & Company - 1975 - azierath - Employment tenure | "
DLPH,Consumer Discretionary,Rodney   O'Neal,"Chief Executive Officer, President and Director,",Delphi Automotive PLC,The Board of Trustees of The Leland Stanford Junior University,59,12018049,2014,2009,"Courteney RoadGillingham, Kent ME8 0RUUnited Kingdom","The Board of Trustees of The Leland Stanford Junior University|The Goodyear Tire & Rubber Company|Woodward, Inc.|DPH Holdings Corp.|Sprint Corporation|Kettering University|Steering Solutions Services Corporation|Merrick Ventures, LLC|Delphi Holdings, LLC",Male,1955,United States of America,United States of America,General Motors Institute,BS,Stanford University,MBA,0.587238653,,,,54,
DAL,Industrials,Richard H. Anderson,"Chief Executive Officer and Director,",Delta Air Lines Inc.,University of Houston System,58,12575572,2014,2007,"1030 Delta BoulevardAtlanta, Georgia 30320United States","Medtronic, Inc.|Medtronic MiniMed, Inc.|Cargill, Incorporated|UnitedHealth Group Incorporated|MAIR Holdings Inc.|Northwest Airlines, LLC|Xcel Energy Inc.|Minnesota Life Insurance Company|OptumInsight, Inc.|Business Leaders for Michigan|University of Houston System|International Air Transport Association|Metro Atlanta Chamber Of Commerce|Air Transport Association Of America|South Texas College of Law|Greater Twin Cities United Way|Federal Reserve Bank of Atlanta",Male,1956,United States of America,United States of America,University of Houston,BA,South Texas College of Law,JD,-6.477969281,William Wallace Anderson | ,,,51,
DNR,Energy,Phil   Rykhoek Sr.,"Chief Executive Officer, President and Director,",Denbury Resources Inc.,NA,56,6164096,2014,2009,"5320 Legacy DrivePlano, Texas 75024United States","Genesis Energy LP|Genesis Energy LLC|Denbury Management, Inc.|Denbury Gathering & Marketing, Inc.|Encore Energy Partners LP|Encore Partners LP Holdings LLC|Encore Energy Partners GP LLC",Male,1958,,,NA,NA,NA,NA,-0.661902681,,,,51,
XRAY,Health Care,Bret W. Wise,"Chairman, Chief Executive Officer and Chairman of Executive Committee,",DENTSPLY International Inc.,"Indiana University, Bloomington",53,5616286,2014,2007,"Susquehanna Commerce CenterYork, Pennsylvania 17405United States","IMS Health Holdings, Inc.|Ferro Corporation|Pall Corporation|Indiana University, Bloomington|Ceramco Inc.|Kelley School of Business, Indiana University",Male,1961,,,NA,NA,NA,NA,0.048914158,,,,46,Dentsply - Chairman - ts_bot - Employment tenure | Dentsply - Chief Executive Officer - ts_bot - Employment tenure | Dentsply - President - ts_bot - Employment tenure | 
DVN,Energy,John   Richels,"Chief Executive Officer, President and Director,",Devon Energy Corporation,York University,62,18750913,2014,2010,"333 West Sheridan AvenueOklahoma City, Oklahoma 73102United States","TransCanada Corp.|BOK Financial Corporation|Northstar Energy Corporation|York University|University Of Windsor|TransCanada PipeLines Limited|EnLink Midstream GP, LLC|Enlink Midstream LLC",Male,1952,,,York University,BA,Windsor,Law,-0.61322133,,,,58,
DO,Energy,Marc Gerard Rex Edwards,"Chief Executive Officer, President and Director,","Diamond Offshore Drilling, Inc.",NA,52,,2014,2014,"15415 Katy FreewayHouston, Texas 77094United States",Halliburton Company,Male,1962,,,NA,NA,NA,NA,0,,,,52,
DTV,Consumer Discretionary,Michael D. White,"Chairman, Chief Executive Officer and President,",DIRECTV,Johns Hopkins University,61,12538662,2014,2010,"2260 East Imperial HighwayEl Segundo, California 90245United States","Pepsico, Inc.|Whirlpool Corp.|PepsiAmericas, Inc., Prior to being acquired by Whitman Corp.|DIRECTV Latin America, LLC|Johns Hopkins University|Boston College|DIRECTV Holdings LLC|DirecTV Financing Co. Inc.|PepsiCo International Limited|US-China Business Council, Inc.",Male,1953,,United States of America,Boston University,BA,Johns Hopkins University,MBA,0.31913378,,,,57,
DFS,Financials,David W. Nelms,"Chairman and Chief Executive Officer,",Discover Financial Services,Harvard University,52,21171839,2014,2004,"2500 Lake Cook RoadRiverwoods, Illinois 60015United States",CDW Corporation|Morgan Stanley|Harvard University|Discover Bank|University of Florida|CDW Government LLC,Male,1962,United States of America,United States of America,University of Florida,BS,Harvard University,MBA,0.272841784,,,,42,Discover Financial - Freebase Data Team - Employment tenure | 
DISCA,Consumer Discretionary,David M. Zaslav,"Chief Executive Officer, President, Director ,Member of Executive Committee, Chief Executive Officer of Discovery Communications Holding LLC and President of Discovery Communications Holding LLC ,","Discovery Communications, Inc.",State University of New York at Binghamton,53,33349798,2014,2007,"One Discovery PlaceSilver Spring, Maryland 20910United States","TiVo Inc.|Sirius XM Holdings Inc.|RespondTV|Discovery Communications Holding, LLC|Univision Communications Inc.|NBCUniversal Media, LLC|FitTV|The Mount Sinai Hospital|National Cable & Telecommunications Association|The Advertising Council, Inc.|Center for Communication, Inc.|State University of New York at Binghamton|Boston University School of Law|Discovery Communications, LLC|Sirius XM Radio Inc.",Male,1961,United States of America,United States of America,Binghamton University,BA,Boston University,JD,-0.619986855,,,,46,
DG,Consumer Discretionary,Richard W. Dreiling,"Chairman and Chief Executive Officer,",Dollar General Corporation,Rockhurst University,59,7647175,2014,2008,"100 Mission RidgeGoodlettsville, Tennessee 37072United States","Duane Reade Holdings, Inc.|Safeway Inc.|Longs Drug Stores, L.L.C.|Lowe's Companies Inc.|Rockhurst University|Dollar General Partners|DG Retail, LLC|DGC Properties of Kentucky, LLC|Retail Risk Solutions, LLC|DG Strategic II, LLC|DG Strategic I, LLC|Retail Industry Leaders Association|Monroe Carell Jr. Children's Hospital at Vanderbilt",Male,1955,,,Rockhurst University,BS,NA,NA,0.404921555,,,,53,
DLTR,Consumer Discretionary,Bob   Sasser,"Chief Executive Officer and Director,","Dollar Tree, Inc.",Florida State University,61,16889790,2014,2004,"500 Volvo ParkwayChesapeake, Virginia 23320United States","Florida State University|The Fresh Market, Inc.|Dollar Tree Stores, Inc.",Male,1953,,,NA,NA,NA,NA,0.207582764,,,,51,Dollar Tree - Chief Executive Officer - ts_bot - Employment tenure | 
D,Utilities,Thomas F. Farrell II,"Executive Chairman, Chief Executive Officer, President, Chairman of Virginia Electric & Power Company, Chief Executive Officer of Virginia Electric & Power Company and Chief Executive Officer of Dominion Energy Inc,","Dominion Resources, Inc.",University of Virginia,58,10914261,2014,2006,"120 Tredegar StreetRichmond, Virginia 23219United States","Consolidated Natural Gas Co.|Altria Group Inc.|Dominion Energy, Inc.|Virginia Electric and Power Company|Colonial Williamsburg Foundation|University of Virginia|Dominion Transmission, Inc.|Edison Electric Institute Inc.",Male,1956,,United States of America,University of Virginia,BS,University of Virginia,JD,0.704082749,,,,50,CNG - President and CEO - alden - Employment tenure | Dominion Virginia Power - Chief Executive Officer - alden - Employment tenure | Dominion Resources - 2006-01-01 - President and CEO - alden - Employment tenure | Dominion Resources - 2004-01-01 - President and Chief Operating Officer - 2006-12-31 - alden - Employment tenure | Dominion Resources - Executive Vice President - alden - Employment tenure | Dominion Energy - 2000 - Chief Executive Officer - 2004 - alden - Employment tenure | Dominion Generation - Chief Executive Officer - alden - Employment tenure | Dominion Virginia Power - Executive Vice President - alden - Employment tenure | Dominion Resources - Senior Vice President Corporate Affairs and General Counsel - alden - Employment tenure | Dominion Resources - 1995 - alden - Employment tenure | 
DOV,Industrials,Robert A. Livingston,"Chief Executive Officer, President and Director,",Dover Corporation,Salisbury University,59,11475148,2014,2008,"3005 Highland ParkwayDowners Grove, Illinois 60515United States","Harbison-Fischer, Inc.|Salisbury University|Manufacturers Alliance for Productivity and Innovation, Inc.|Dover Electronics, Inc.|Norris Production Solutions",Male,1955,,,Salisbury University,BS,NA,NA,0.214294137,,,,53,
DOW,Materials,Andrew N. Liveris,"Executive Chairman, Chief Executive Officer and President,",The Dow Chemical Company,University of Queensland,58,20452877,2014,2004,"2030 Dow CenterMidland, Michigan 48674United States","International Business Machines Corporation|Dow Corning Corporation|CDW Corporation|Citigroup Inc.|Dow AgroSciences LLC|Business Leaders for Michigan|Tufts University|Citigroup Finance Canada Inc.|American Chemistry Council, Inc.|University of Queensland|The Business Roundtable|US-China Business Council, Inc.|Dow Chemical Company Limited|Dow AgroSciences International Ltd.|Dow Saudi Arabia Company",Male,1956,Australia,United States of America |  Australia ,University of Queensland,BS,NA,NA,0.786145309,,,,48,"Dow Chemical Company - Chief Operating Officer - Freebase Data Team - Employment tenure | Dow Chemical Company - President - ts_bot - Employment tenure | Dow Chemical Company - 2004 - Chief Executive Officer - ts_bot - Employment tenure | Dow Chemical Company - Head, Asia-Pacific Operations - earlye - Employment tenure | Dow Chemical Company - General Manager, Thailand - earlye - Employment tenure | Dow Chemical Company - 1976 - earlye - Employment tenure | "
DPS,Consumer Staples,Larry D. Young,"Chief Executive Officer, President, Director, Member of Special Award Committee and Member of Capital Transaction Committee,","Dr Pepper Snapple Group, Inc.",NA,58,9052569,2014,2007,"5301 Legacy DrivePlano, Texas 75024United States","Dr Pepper/Seven Up, Inc.|PepsiAmericas Inc.|Golf Trust of America, Inc.|Dr Pepper Snapple Bottling Group, Inc.|The American Beverage Association",Male,1956,,,NA,NA,NA,NA,-0.679668049,,,,51,
DTE,Utilities,Gerard M. Anderson,"Chairman of the Board, Chief Executive Officer, Group President of Energy Resources and Chairman of Internal Risk Management Committee,",DTE Energy Company,University of Michigan,54,9147821,2014,2010,"One Energy PlazaDetroit, Michigan 48226United States","The Andersons, Inc.|DTE Electric Company|Electric Power Research Institute, Inc.|DTE Gas Company|Business Leaders for Michigan|University of Michigan|University of Notre Dame|The Henry Ford",Male,1960,,,University of Notre Dame,BS,University of Michigan,MBA,0.008694762,,,,50,DTE Energy - President - ts_bot - Employment tenure | DTE Energy - Chief Operating Officer - ts_bot - Employment tenure | 
